States,stress level,,,,,,,
Alabama,21.5,,,,,,,
Arizona,17.17,,,,,,,
Arkansas,27.17,,,,,,,
California,12,,,,,,,
Colorado,22.17,,,,,,,
Connecticut,21.33,,,,,,,
Delaware,23.83,,,,,,,
District of Columbia,21.5,,,,,,,
Florida,8.33,,,,,,,
Georgia,11,,,,,,,
Idaho,31.17,,,,,,,
Illinois,16.5,,,,,,,
Indiana,24.67,,,,,,,
Iowa,38.5,,,,,,,
Kansas,33,,,,,,,
Kentucky,25.17,,,,,,,
Louisiana,22.83,,,,,,,
Maine,33.33,,,,,,,
Maryland,16.83,,,,,,,
Massachusetts,22,,,,,,,
Michigan,22.5,,,,,,,
Minnesota,34.67,,,,,,,
Mississippi,20.33,,,,,,,
Missouri,27,,,,,,,
Montana,33.5,,,,,,,
Nebraska,34.5,,,,,,,
Nevada,12.67,,,,,,,
New Hampshire,24.33,,,,,,,
New Jersey,11.67,,,,,,,
New Mexico,28.5,,,,,,,
New York,16.67,,,,,,,
North Carolina,17,,,,,,,
North Dakota,38.67,,,,,,,
Ohio,24.17,,,,,,,
Oklahoma,27.83,,,,,,,
Oregon,25.17,,,,,,,
Pennsylvania,24.17,,,,,,,
Rhode Island,21.5,,,,,,,
South Carolina,18.33,,,,,,,
South Dakota,36,,,,,,,
Tennessee,19.67,,,,,,,
Texas,17.67,,,,,,,
Utah,33,,,,,,,
Vermont,34.33,,,,,,,
Virginia,19.5,,,,,,,
Washington,21.5,,,,,,,
West Virginia,27.5,,,,,,,
Wisconsin,31.33,,,,,,,
Wyoming,34,,,,,,,