States,2012,2013,2014,2015
Alabama,,40.3,,40.4
Alaska,,29.8,,27.5
Arizona,,30.7,,30.8
Arkansas,,38.7,,39.3
California,,28.7,,28.5
Colorado,,26.3,,25.7
Connecticut,,31.3,,30.4
Delaware,,35.6,,34.5
District of Columbia,,28.4,,29.4
Florida,,34.6,,33.5
Georgia,,35.0,,36.2
Hawaii,,28.5,,32.0
Idaho,,29.4,,31.2
Illinois,,30.1,,30.8
Indiana,,33.5,,32.4
Iowa,,31.4,,30.6
Kansas,,31.3,,31.6
Kentucky,,39.1,,39.0
Louisiana,,39.8,,39.3
Maine,,33.3,,34.1
Maryland,,32.8,,32.5
Massachusetts,,29.4,,29.6
Michigan,,34.6,,33.1
Minnesota,,27.0,,26.3
Mississippi,,40.2,,42.4
Missouri,,32.0,,34.1
Montana,,29.3,,29.1
Nebraska,,30.3,,29.9
Nevada,,30.6,,28.3
New Hampshire,,30.1,,29.2
New Jersey,,31.1,,30.9
New Mexico,,29.5,,30.0
New York,,31.5,,29.3
North Carolina,,35.5,,35.2
North Dakota,,29.7,,30.4
Ohio,,33.5,,34.3
Oklahoma,,37.5,,36.2
Oregon,,31.8,,30.1
Pennsylvania,,33.7,,32.5
Rhode Island,,33.8,,32.4
South Carolina,,38.4,,37.8
South Dakota,,30.7,,29.9
Tennessee,,38.8,,38.5
Texas,,31.2,,29.5
Utah,,24.2,,23.6
Vermont,,31.1,,29.4
Virginia,,32.5,,33.2
Washington,,30.4,,29.7
West Virginia,,41.0,,42.7
Wisconsin,,32.3,,29.6
Wyoming,,28.7,,29.9